#####################################################################
# Alchemist log file - simulation started at: 2021-12-09T08:43+0000 #
#####################################################################
# random = 2.0
#
# The columns have the following meaning: 
# time localWarningInSystem[Min] localWarningInSystem[Max] localWarningInSystem[Mean] localWarningInSystem[Sum] meanWarningAtDetector[Sum] dataAtCollector[Sum] inSurveillanceArea[Sum] numDevicesAtDetector[Sum] localWarningInSurveillanceArea[Mean] localWarningInSurveillanceArea[Sum] sumWarningAtDetector[Mean] sumWarningAtDetector[Sum] meanWarningOverallAtDetector[Sum] meanWarningAtCollector[Sum] sumWarningAtCollector[Sum] 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
1.0021051854459069 0.0 0.0 0.0 0.0 0.0 0.0 31.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
2.0 0.0 0.0 0.0 0.0 0.0 0.0 231.0 15.901748641821925 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
3.0001018256231173 0.0 0.0 0.0 0.0 0.0 0.0 284.0 70.99499331581292 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
4.00042303513105 0.0 0.0 0.0 0.0 0.0 0.0 288.0 134.11726996849663 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
5.0008494351745885 0.0 0.0 0.0 0.0 0.0 0.0 286.0 201.65970082614436 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
6.000396515856031 0.0 0.0 0.0 0.0 0.0 0.0 286.0 251.85100811308487 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
7.0007706496872455 0.0 0.0 0.0 0.0 0.0 0.0 286.0 273.4619079965522 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
8.001586723483882 0.0 0.0 0.0 0.0 0.0 0.0 286.0 267.98980864448276 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
9.00004573597349 0.0 0.0 0.0 0.0 0.0 0.0 286.0 281.87714719734856 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
10.000056095078799 0.0 0.0 0.0 0.0 0.0 0.0 285.0 281.7045711574976 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
11.000062839639625 0.0 0.0 0.0 0.0 0.0 0.0 286.0 282.6982681359742 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
12.00009044213237 0.0 0.0 0.0 0.0 0.0 0.0 285.0 264.9022907113065 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
13.000553967009054 0.0 0.0 0.0 0.0 0.0 0.0 284.0 283.3714670845072 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
