#####################################################################
# Alchemist log file - simulation started at: 2021-12-09T08:43+0000 #
#####################################################################
# random = 1.0
#
# The columns have the following meaning: 
# time localWarningInSystem[Min] localWarningInSystem[Max] localWarningInSystem[Mean] localWarningInSystem[Sum] meanWarningAtDetector[Sum] dataAtCollector[Sum] inSurveillanceArea[Sum] numDevicesAtDetector[Sum] localWarningInSurveillanceArea[Mean] localWarningInSurveillanceArea[Sum] sumWarningAtDetector[Mean] sumWarningAtDetector[Sum] meanWarningOverallAtDetector[Sum] meanWarningAtCollector[Sum] sumWarningAtCollector[Sum] 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
1.0021882032847353 0.0 0.0 0.0 0.0 0.0 0.0 66.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
2.0 0.0 0.0 0.0 0.0 0.0 0.0 249.0 9.494242909035025 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
3.000247021359652 0.0 0.0 0.0 0.0 0.0 0.0 273.0 34.025164562943765 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
4.00027294571293 0.0 0.0 0.0 0.0 0.0 0.0 279.0 84.80928453491995 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
5.000052755993226 0.0 0.0 0.0 0.0 0.0 0.0 279.0 148.20860979114417 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
6.000661501042082 0.0 0.0 0.0 0.0 0.0 0.0 279.0 221.66460450652423 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
7.00035708731831 0.0 0.0 0.0 0.0 0.0 0.0 280.0 222.20714636721686 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
8.000012965493262 0.0 0.0 0.0 0.0 0.0 0.0 281.0 269.8368599115823 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
9.000045810933464 0.0 0.0 0.0 0.0 0.0 0.0 279.0 239.43803145195508 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
10.000435101191595 0.0 0.0 0.0 0.0 0.0 0.0 279.0 273.2738800146314 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
11.000264710293486 0.0 0.0 0.0 0.0 0.0 0.0 279.0 276.01003701076434 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
12.00052589602823 0.0 0.0 0.0 0.0 0.0 0.0 279.0 241.36953932742827 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
13.000018810657533 0.0 0.0 0.0 0.0 0.0 0.0 278.0 264.6887299762578 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
14.00001157921777 0.0 0.0 0.0 0.0 0.0 0.0 279.0 251.13809087555686 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
15.000542554951357 0.0 0.0 0.0 0.0 0.0 0.0 278.0 260.066488518964 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
16.000579467967352 0.0 0.0 0.0 0.0 0.0 0.0 278.0 259.66656195044783 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
